RuleSet,,,org.example.rules
Import,,,org.example.model.*
,,,
RuleTable ICD Code Coverage by Policy Type,,,
CONDITION,CONDITION,DESCRIPTION,ACTION
$claim : Claim,Claim,,
policyType == PolicyType.$param,"icdCode == ""$param""",,$claim.setIcdCodeCoveredByPolicyType(Boolean.$param);
Policy Type,ICD Code,ICD Code Description,Covered?
GOLD,A000,"Cholera due to Vibrio cholerae 01, biovar cholerae",TRUE
GOLD,A001,"Cholera due to Vibrio cholerae 01, biovar eltor",TRUE
GOLD,A009,"Cholera, unspecified",TRUE
GOLD,A0100,"Typhoid fever, unspecified",TRUE
GOLD,A0101,Typhoid meningitis,TRUE
GOLD,A0102,Typhoid fever with heart involvement,TRUE
GOLD,A0103,Typhoid pneumonia,TRUE
GOLD,A0104,Typhoid arthritis,TRUE
GOLD,A0105,Typhoid osteomyelitis,TRUE
GOLD,A0109,Typhoid fever with other complications,TRUE
GOLD,A011,Paratyphoid fever A,TRUE
GOLD,A012,Paratyphoid fever B,TRUE
GOLD,A013,Paratyphoid fever C,TRUE
GOLD,A014,"Paratyphoid fever, unspecified",TRUE
GOLD,A020,Salmonella enteritis,TRUE
GOLD,A021,Salmonella sepsis,TRUE
GOLD,A0220,"Localized salmonella infection, unspecified",TRUE
GOLD,A0221,Salmonella meningitis,TRUE
GOLD,A0222,Salmonella pneumonia,TRUE
GOLD,A0223,Salmonella arthritis,TRUE
GOLD,A0224,Salmonella osteomyelitis,TRUE
GOLD,A0225,Salmonella pyelonephritis,TRUE
GOLD,A0229,Salmonella with other localized infection,TRUE
GOLD,A028,Other specified salmonella infections,TRUE
GOLD,A029,"Salmonella infection, unspecified",TRUE
GOLD,A030,Shigellosis due to Shigella dysenteriae,TRUE
GOLD,A031,Shigellosis due to Shigella flexneri,TRUE
GOLD,A032,Shigellosis due to Shigella boydii,TRUE
GOLD,A033,Shigellosis due to Shigella sonnei,TRUE
GOLD,A038,Other shigellosis,TRUE
GOLD,A039,"Shigellosis, unspecified",TRUE
GOLD,A040,Enteropathogenic Escherichia coli infection,TRUE
GOLD,A041,Enterotoxigenic Escherichia coli infection,TRUE
GOLD,A042,Enteroinvasive Escherichia coli infection,TRUE
GOLD,A043,Enterohemorrhagic Escherichia coli infection,TRUE
GOLD,A044,Other intestinal Escherichia coli infections,TRUE
GOLD,A045,Campylobacter enteritis,TRUE
GOLD,A046,Enteritis due to Yersinia enterocolitica,TRUE
GOLD,A0471,"Enterocolitis due to Clostridium difficile, recurrent",TRUE
GOLD,A0472,"Enterocolitis due to Clostridium difficile, not specified as recurrent",TRUE
GOLD,A048,Other specified bacterial intestinal infections,TRUE
GOLD,A049,"Bacterial intestinal infection, unspecified",TRUE
GOLD,A050,Foodborne staphylococcal intoxication,TRUE
GOLD,A051,Botulism food poisoning,TRUE
GOLD,A052,Foodborne Clostridium perfringens [Clostridium welchii] intoxication,TRUE
GOLD,A053,Foodborne Vibrio parahaemolyticus intoxication,TRUE
